team,rank_on_team,player_name,tier,GP,total_min,PTS,REB,AST,STL,BLK,TOV,composite_score,within_season_pct,potential_score
Atlanta Hawks,1,Trae Young,Star,76,2739,24.2,3.1,11.6,1.2,0.2,4.7,0.6259,95.2,0.5633
Atlanta Hawks,2,Dyson Daniels,Starter,76,2571,14.1,5.9,4.4,3.0,0.7,2.0,0.5022,70.4,0.452
Atlanta Hawks,3,Onyeka Okongwu,Starter,74,2064,13.4,8.9,2.3,0.9,0.9,1.2,0.5496,81.9,0.4946
Atlanta Hawks,4,Zaccharie Risacher,Role Player,75,1843,12.6,3.6,1.2,0.7,0.5,1.2,0.4072,32.5,0.3665
Atlanta Hawks,5,Georges Niang,Fringe,79,1697,9.9,3.4,1.4,0.4,0.2,1.0,0.3896,25.6,0.3507
Atlanta Hawks,6,Caris LeVert,Role Player,64,1596,12.1,3.2,3.4,0.9,0.5,1.2,0.465,55.2,0.4185
Atlanta Hawks,7,Terance Mann,Fringe,67,1414,7.7,3.0,1.8,0.7,0.2,0.7,0.376,20.0,0.3384
Atlanta Hawks,8,Jalen Johnson,Star,36,1284,18.9,10.0,5.0,1.6,1.0,2.9,0.5842,90.4,0.5258
Atlanta Hawks,9,Clint Capela,Starter,55,1176,8.9,8.5,1.1,0.6,1.0,0.9,0.5565,84.5,0.5009
Atlanta Hawks,10,Vít Krejčí,Role Player,57,1153,7.2,2.7,2.6,0.6,0.5,0.9,0.4088,33.3,0.3679
Boston Celtics,1,Jayson Tatum,Star,72,2624,26.8,8.7,6.0,1.1,0.5,2.9,0.6423,96.3,0.5781
Boston Celtics,2,Derrick White,Role Player,76,2574,16.4,4.5,4.8,0.9,1.1,1.7,0.4734,58.4,0.426
Boston Celtics,3,Payton Pritchard,Role Player,80,2271,14.3,3.8,3.5,0.9,0.2,1.0,0.4557,50.9,0.4101
Boston Celtics,4,Jaylen Brown,Starter,63,2158,22.2,5.8,4.5,1.2,0.3,2.6,0.5362,77.9,0.4826
Boston Celtics,5,Jrue Holiday,Role Player,62,1896,11.1,4.3,3.9,1.1,0.4,1.2,0.4095,34.1,0.3685
Boston Celtics,6,Al Horford,Role Player,60,1659,9.0,6.2,2.1,0.6,0.8,0.8,0.413,36.5,0.3717
Boston Celtics,7,Sam Hauser,Fringe,71,1541,8.5,3.2,0.9,0.6,0.2,0.3,0.3532,10.9,0.3179
Boston Celtics,8,Luke Kornet,Starter,73,1361,6.0,5.3,1.6,0.5,1.0,0.4,0.4848,62.7,0.4363
Boston Celtics,9,Kristaps Porziņģis,Star,42,1210,19.5,6.8,2.1,0.7,1.5,1.3,0.5807,90.1,0.5226
Boston Celtics,10,Neemias Queta,Role Player,62,863,5.0,3.8,0.7,0.3,0.7,0.6,0.4458,47.5,0.4012
Brooklyn Nets,1,Jalen Wilson,Fringe,79,2031,9.5,3.4,1.8,0.5,0.1,1.0,0.3394,7.5,0.3055
Brooklyn Nets,2,Keon Johnson,Role Player,79,1925,10.6,3.8,2.2,1.0,0.4,1.5,0.4197,39.7,0.3778
Brooklyn Nets,3,Nic Claxton,Starter,70,1882,10.3,7.4,2.2,0.9,1.4,1.2,0.4975,68.0,0.4477
Brooklyn Nets,4,Cameron Johnson,Starter,57,1800,18.8,4.3,3.4,0.9,0.4,1.7,0.4803,60.5,0.4323
Brooklyn Nets,5,Ziaire Williams,Role Player,63,1541,10.0,4.6,1.3,1.0,0.4,1.1,0.4055,32.0,0.365
Brooklyn Nets,6,D'Angelo Russell,Starter,58,1480,12.6,2.8,5.1,1.0,0.4,1.9,0.5,69.1,0.45
Brooklyn Nets,7,Tyrese Martin,Fringe,60,1315,8.7,3.6,2.0,0.6,0.1,1.2,0.3929,27.7,0.3536
Brooklyn Nets,8,Noah Clowney,Fringe,46,1042,9.1,3.9,0.9,0.5,0.5,1.0,0.3676,16.8,0.3308
Brooklyn Nets,9,Trendon Watford,Role Player,44,913,10.2,3.6,2.6,0.6,0.3,1.9,0.461,53.6,0.4149
Brooklyn Nets,10,Day'Ron Sharpe,Star,50,907,7.9,6.6,1.8,0.8,0.8,1.3,0.5868,90.7,0.5281
Charlotte Hornets,1,Miles Bridges,Starter,64,2029,20.3,7.5,3.9,0.7,0.7,2.1,0.5713,87.7,0.5142
Charlotte Hornets,2,Josh Green,Fringe,68,1888,7.4,2.5,1.6,1.1,0.2,1.0,0.2798,1.3,0.2518
Charlotte Hornets,3,LaMelo Ball,Star,47,1505,25.2,4.9,7.4,1.1,0.3,3.6,0.654,97.1,0.5886
Charlotte Hornets,4,Nick Smith Jr.,Fringe,60,1369,9.8,2.1,2.4,0.3,0.1,1.4,0.3569,13.3,0.3212
Charlotte Hornets,5,Tidjane Salaün,Fringe,60,1244,5.9,4.7,1.2,0.5,0.2,1.0,0.3592,14.1,0.3232
Charlotte Hornets,6,Moussa Diabaté,Role Player,71,1241,5.7,6.2,0.8,0.6,0.6,0.9,0.4745,58.9,0.427
Charlotte Hornets,7,Mark Williams,Star,44,1171,15.2,10.2,2.5,0.7,1.2,1.6,0.638,95.7,0.5742
Charlotte Hornets,8,DaQuan Jeffries,Fringe,47,1071,6.7,2.9,1.1,0.6,0.5,0.7,0.3089,2.9,0.278
Charlotte Hornets,9,Jusuf Nurkić,Starter,51,1063,8.9,7.8,2.3,0.8,0.7,1.9,0.5674,86.1,0.5106
Charlotte Hornets,10,Seth Curry,Fringe,68,1062,6.5,1.7,0.9,0.4,0.1,0.5,0.3429,8.8,0.3086
Chicago Bulls,1,Coby White,Starter,74,2450,20.4,3.7,4.5,0.9,0.2,2.4,0.4812,61.3,0.4331
Chicago Bulls,2,Nikola Vučević,Star,73,2278,18.5,10.1,3.5,0.8,0.7,1.6,0.6081,93.3,0.5473
Chicago Bulls,3,Josh Giddey,Star,70,2117,14.6,8.1,7.2,1.2,0.6,2.9,0.6241,94.7,0.5617
Chicago Bulls,4,Kevin Huerter,Fringe,69,1679,9.9,3.0,2.3,1.0,0.3,1.0,0.3923,27.2,0.3531
Chicago Bulls,5,Patrick Williams,Fringe,63,1576,9.0,3.8,2.0,0.8,0.5,1.4,0.3703,17.9,0.3333
Chicago Bulls,6,Matas Buzelis,Role Player,80,1511,8.6,3.5,1.0,0.4,0.9,0.9,0.428,42.7,0.3852
Chicago Bulls,7,Ayo Dosunmu,Role Player,46,1394,12.3,3.5,4.5,0.9,0.4,1.5,0.4242,41.6,0.3818
Chicago Bulls,8,Julian Phillips,Fringe,79,1123,4.6,2.1,0.5,0.5,0.3,0.3,0.3326,6.1,0.2993
Chicago Bulls,9,Dalen Terry,Fringe,73,987,4.5,1.7,1.3,0.6,0.2,0.7,0.3669,16.5,0.3303
