team,window,seasons_used,current_win_pct,current_net_rating,current_n_superstars,current_n_stars,current_top_player,current_2nd_player,current_W,current_L,current_win_pct_trend,current_net_rating_trend,current_n_superstars_trend,match_rank,match_type,match_team,match_seasons,match_anchor_season,match_3yr_W,match_3yr_L,match_avg_win_pct,match_avg_net_rating,match_top_player,match_2nd_player,match_top_5_players,match_win_pct_trend,match_net_rating_trend,match_n_superstars_trend,match_next_1yr_win_pct,match_next_2yr_win_pct,match_next_avg_win_pct,match_next_1yr_playoff_round,match_next_2yr_playoff_round,similarity_score,level_similarity,trend_similarity,level_reason,trend_reason
Atlanta Hawks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.474,-1.1,0.0,1,Trae Young,Clint Capela,40,42,-0.006,-0.6,0.0,1,top_1,San Antonio Spurs,2018-19 / 2019-20 / 2020-21,2020-21,113,112,0.487,-0.5,DeMar DeRozan,Dejounte Murray,"DeMar DeRozan, Dejounte Murray, Jakob Poeltl, Keldon Johnson, Rudy Gay",-0.064,-1.6,0.0,0.415,0.268,0.341,0.0,0.0,100.0,64.3,47.6,Similar superstar presence + star players lost,Similar superstar presence trend + defensive rank trend
Atlanta Hawks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.474,-1.1,0.0,1,Trae Young,Clint Capela,40,42,-0.006,-0.6,0.0,2,top_2,Washington Wizards,2005-06 / 2006-07 / 2007-08,2007-08,126,120,0.513,0.2,Antawn Jamison,Caron Butler,"Antawn Jamison, Caron Butler, Brendan Haywood, Andray Blatche, DeShawn Stevenson",0.006,-1.1,0.0,0.232,0.317,0.274,0.0,0.0,92.9,47.7,53.1,Similar superstar presence + star players lost,Similar superstar presence trend + win percentage trend
Atlanta Hawks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.474,-1.1,0.0,1,Trae Young,Clint Capela,40,42,-0.006,-0.6,0.0,3,top_3,San Antonio Spurs,2019-20 / 2020-21 / 2021-22,2021-22,99,126,0.439,-0.7,Dejounte Murray,Jakob Poeltl,"Dejounte Murray, Jakob Poeltl, Keldon Johnson, Devin Vassell, Lonnie Walker IV",-0.018,0.6,0.0,0.268,0.268,0.268,0.0,0.0,90.7,50.5,47.9,Similar superstar presence + net rating,Similar superstar presence trend + win percentage trend
Atlanta Hawks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.474,-1.1,0.0,1,Trae Young,Clint Capela,40,42,-0.006,-0.6,0.0,4,optimistic,Seattle SuperSonics,2000-01 / 2001-02 / 2002-03,2002-03,129,117,0.521,1.1,Ray Allen,Rashard Lewis,"Ray Allen, Rashard Lewis, Brent Barry, Predrag Drobnjak, Vladimir Radmanovic",-0.024,-0.2,0.0,0.451,0.634,0.543,0.0,2.0,80.2,46.6,42.2,Similar superstar presence + roster depth,Similar superstar presence trend + net rating trend
Atlanta Hawks,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.474,-1.1,0.0,1,Trae Young,Clint Capela,40,42,-0.006,-0.6,0.0,5,pessimistic,San Antonio Spurs,2019-20 / 2020-21 / 2021-22,2021-22,99,126,0.439,-0.7,Dejounte Murray,Jakob Poeltl,"Dejounte Murray, Jakob Poeltl, Keldon Johnson, Devin Vassell, Lonnie Walker IV",-0.018,0.6,0.0,0.268,0.268,0.268,0.0,0.0,90.7,50.5,47.9,Similar superstar presence + net rating,Similar superstar presence trend + win percentage trend
Boston Celtics,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.745,9.5,1.0,2,Jayson Tatum,Jaylen Brown,61,21,0.024,1.4,0.0,1,top_1,San Antonio Spurs,2003-04 / 2004-05 / 2005-06,2005-06,179,67,0.733,7.9,Tim Duncan,Tony Parker,"Tim Duncan, Tony Parker, Manu Ginobili, Nazr Mohammed, Michael Finley",0.037,-0.2,0.0,0.707,0.683,0.695,5.0,3.0,100.0,42.9,52.3,Similar superstar presence + roster depth,Similar superstar presence trend + roster depth trend
Boston Celtics,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.745,9.5,1.0,2,Jayson Tatum,Jaylen Brown,61,21,0.024,1.4,0.0,2,top_2,San Antonio Spurs,2002-03 / 2003-04 / 2004-05,2004-05,176,70,0.714,7.5,Tim Duncan,Tony Parker,"Tim Duncan, Tony Parker, Manu Ginobili, Nazr Mohammed, Rasho Nesterovic",-0.006,1.3,0.0,0.768,0.707,0.738,2.0,5.0,97.3,39.6,58.3,Similar superstar presence + roster potential,Similar superstar presence trend + offensive rank trend
Boston Celtics,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.745,9.5,1.0,2,Jayson Tatum,Jaylen Brown,61,21,0.024,1.4,0.0,3,top_3,San Antonio Spurs,2004-05 / 2005-06 / 2006-07,2006-07,180,66,0.732,8.4,Tim Duncan,Tony Parker,"Tim Duncan, Manu Ginobili, Tony Parker, Michael Finley, Brent Barry",-0.006,0.4,0.0,0.683,0.659,0.671,3.0,1.0,94.9,40.6,50.8,Similar superstar presence + roster depth,Similar superstar presence trend + defensive rank trend
Boston Celtics,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.745,9.5,1.0,2,Jayson Tatum,Jaylen Brown,61,21,0.024,1.4,0.0,4,optimistic,San Antonio Spurs,2003-04 / 2004-05 / 2005-06,2005-06,179,67,0.733,7.9,Tim Duncan,Tony Parker,"Tim Duncan, Tony Parker, Manu Ginobili, Nazr Mohammed, Michael Finley",0.037,-0.2,0.0,0.707,0.683,0.695,5.0,3.0,100.0,42.9,52.3,Similar superstar presence + roster depth,Similar superstar presence trend + roster depth trend
Boston Celtics,2022-23 / 2023-24 / 2024-25,2022-23 / 2023-24 / 2024-25,0.745,9.5,1.0,2,Jayson Tatum,Jaylen Brown,61,21,0.024,1.4,0.0,5,pessimistic,Orlando Magic,2008-09 / 2009-10 / 2010-11,2010-11,170,76,0.685,6.8,Dwight Howard,Jameer Nelson,"Dwight Howard, Jameer Nelson, Jason Richardson, Hedo Turkoglu, Ryan Anderson",-0.043,-0.8,0.0,0.561,0.244,0.402,0.0,0.0,85.0,39.3,42.0,Similar superstar presence + defensive rank,Similar superstar presence trend + 2nd player quality trend
