SEASON,YEAR,Team,Wins,Champ_3PA,Champ_3P%,Champ_Pace,Champ_ORtg,Champ_DRtg,Champ_eFG%,Champ_TS%,Champ_AST%,Champ_ORB%,Champ_DRB%,Champ_TOV%,Champ_FTA_RATE
1996-97,1997,Chicago Bulls,69,17.1,0.373,91.5,112.4,100.7,0.511,0.547,0.654,0.374,0.67,0.147,0.267
1997-98,1998,Chicago Bulls,62,11.7,0.323,90.3,106.2,98.4,0.473,0.516,0.637,0.381,0.676,0.158,0.295
1998-99,1999,San Antonio Spurs,37,10.4,0.33,89.88,102.7,93.6,0.479,0.523,0.633,0.329,0.674,0.168,0.371
1999-00,2000,Los Angeles Lakers,67,12.8,0.329,95.04,105.4,96.4,0.484,0.525,0.612,0.324,0.705,0.146,0.347
2000-01,2001,Los Angeles Lakers,56,15.5,0.344,92.9,107.0,103.6,0.498,0.535,0.607,0.338,0.691,0.154,0.349
2001-02,2002,Los Angeles Lakers,58,17.5,0.354,93.32,108.0,100.4,0.498,0.534,0.597,0.311,0.686,0.135,0.313
2002-03,2003,San Antonio Spurs,60,15.5,0.354,91.46,103.9,98.1,0.497,0.541,0.563,0.311,0.687,0.171,0.348
2003-04,2004,Detroit Pistons,54,11.8,0.344,89.34,100.3,93.9,0.461,0.511,0.62,0.332,0.686,0.168,0.328
2004-05,2005,San Antonio Spurs,59,17.0,0.363,89.96,106.1,97.8,0.492,0.534,0.606,0.321,0.697,0.151,0.329
2005-06,2006,Miami Heat,52,17.6,0.345,92.56,107.5,103.4,0.517,0.556,0.557,0.297,0.726,0.156,0.363
2006-07,2007,San Antonio Spurs,58,19.0,0.381,90.22,108.6,99.4,0.521,0.561,0.605,0.279,0.715,0.153,0.313
2007-08,2008,Boston Celtics,66,19.1,0.381,91.88,108.8,98.1,0.522,0.569,0.614,0.306,0.707,0.164,0.346
2008-09,2009,Los Angeles Lakers,65,18.5,0.361,95.49,111.4,103.5,0.513,0.555,0.577,0.326,0.698,0.14,0.299
2009-10,2010,Los Angeles Lakers,57,19.0,0.341,93.73,107.6,102.7,0.496,0.538,0.55,0.314,0.708,0.141,0.289
2011-12,2012,Miami Heat,46,15.6,0.359,92.07,105.6,99.2,0.505,0.549,0.538,0.299,0.693,0.163,0.307
2012-13,2013,Miami Heat,66,22.1,0.396,91.26,111.4,103.2,0.552,0.588,0.6,0.264,0.678,0.151,0.297
2013-14,2014,San Antonio Spurs,62,21.4,0.397,95.87,109.5,101.4,0.537,0.571,0.621,0.261,0.725,0.15,0.24
2015-16,2016,Cleveland Cavaliers,57,29.6,0.362,93.82,110.2,103.9,0.524,0.558,0.587,0.294,0.742,0.143,0.259
2016-17,2017,Golden State Warriors,67,31.2,0.383,100.37,114.8,103.4,0.563,0.597,0.705,0.272,0.709,0.146,0.259
2017-18,2018,Golden State Warriors,58,28.9,0.391,100.35,112.8,106.8,0.569,0.603,0.685,0.243,0.712,0.153,0.239
2018-19,2019,Toronto Raptors,58,33.8,0.366,100.51,112.6,106.8,0.543,0.579,0.603,0.265,0.726,0.138,0.247
2019-20,2020,Los Angeles Lakers,52,31.6,0.349,101.2,111.7,106.1,0.542,0.573,0.6,0.283,0.737,0.149,0.276
2020-21,2021,Milwaukee Bucks,46,37.1,0.389,102.85,116.5,110.7,0.566,0.593,0.569,0.269,0.755,0.134,0.233
2021-22,2022,Golden State Warriors,53,39.4,0.364,98.74,112.1,106.6,0.552,0.582,0.669,0.269,0.736,0.15,0.235
2022-23,2023,Denver Nuggets,53,31.2,0.379,98.74,116.8,113.5,0.573,0.601,0.663,0.289,0.727,0.147,0.259
2023-24,2024,Boston Celtics,64,42.5,0.388,97.98,122.2,110.6,0.578,0.609,0.613,0.287,0.726,0.121,0.224
