team,window,seasons_used,current_win_pct,current_net_rating,current_n_superstars,current_n_elite_stars,current_n_stars,current_top_player,current_2nd_player,current_W,current_L,current_win_pct_trend,current_net_rating_trend,current_n_superstars_trend,current_n_elite_stars_trend,match_rank,match_type,match_team,match_seasons,match_anchor_season,match_3yr_W,match_3yr_L,match_avg_win_pct,match_avg_net_rating,match_top_player,match_2nd_player,match_top_5_players,match_win_pct_trend,match_net_rating_trend,match_n_superstars_trend,match_next_1yr_win_pct,match_next_2yr_win_pct,match_next_avg_win_pct,match_next_1yr_playoff_round,match_next_2yr_playoff_round,similarity_score,level_similarity,trend_similarity,level_reason,trend_reason
Atlanta Hawks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.492,-0.5,0.0,0,1,Jalen Johnson,Dyson Daniels,32,31,0.034,1.1,0.0,0.0,1,top_1,Orlando Magic,2004-05 / 2005-06 / 2006-07,2006-07,112,134,0.466,-0.3,Dwight Howard,Jameer Nelson,"Dwight Howard, Jameer Nelson, Hedo Turkoglu, Grant Hill, Darko Milicic",0.024,1.5,0.0,0.634,0.72,0.677,2,4,68.2,69.9,84.9,Similar superstar presence + net rating,Similar superstar presence trend + elite star presence trend
Atlanta Hawks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.492,-0.5,0.0,0,1,Jalen Johnson,Dyson Daniels,32,31,0.034,1.1,0.0,0.0,2,top_2,Indiana Pacers,2008-09 / 2009-10 / 2010-11,2010-11,105,141,0.431,-1.5,Danny Granger,Roy Hibbert,"Danny Granger, Roy Hibbert, Darren Collison, Tyler Hansbrough, Josh McRoberts",0.006,0.0,0.0,0.636,0.605,0.621,2,3,67.2,68.4,86.2,Similar superstar presence + top player quality,Similar superstar presence trend + elite star presence trend
Atlanta Hawks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.492,-0.5,0.0,0,1,Jalen Johnson,Dyson Daniels,32,31,0.034,1.1,0.0,0.0,3,top_3,Philadelphia 76ers,2008-09 / 2009-10 / 2010-11,2010-11,109,137,0.449,-0.4,Andre Iguodala,Jrue Holiday,"Jrue Holiday, Elton Brand, Andre Iguodala, Lou Williams, Thaddeus Young",0.0,0.7,0.0,0.53,0.415,0.472,2,0,65.6,66.7,86.0,Similar superstar presence + net rating,Similar superstar presence trend + elite star presence trend
Atlanta Hawks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.492,-0.5,0.0,0,1,Jalen Johnson,Dyson Daniels,32,31,0.034,1.1,0.0,0.0,4,optimistic,Indiana Pacers,2008-09 / 2009-10 / 2010-11,2010-11,105,141,0.431,-1.5,Danny Granger,Roy Hibbert,"Danny Granger, Roy Hibbert, Darren Collison, Tyler Hansbrough, Josh McRoberts",0.006,0.0,0.0,0.636,0.605,0.621,2,3,67.2,68.4,86.2,Similar superstar presence + top player quality,Similar superstar presence trend + elite star presence trend
Atlanta Hawks,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.492,-0.5,0.0,0,1,Jalen Johnson,Dyson Daniels,32,31,0.034,1.1,0.0,0.0,5,pessimistic,Philadelphia 76ers,2008-09 / 2009-10 / 2010-11,2010-11,109,137,0.449,-0.4,Andre Iguodala,Jrue Holiday,"Jrue Holiday, Elton Brand, Andre Iguodala, Lou Williams, Thaddeus Young",0.0,0.7,0.0,0.53,0.415,0.472,2,0,65.6,66.7,86.0,Similar superstar presence + net rating,Similar superstar presence trend + elite star presence trend
Boston Celtics,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.704,9.0,0.45,1,0,Jaylen Brown,Derrick White,41,21,-0.06,-1.8,-0.5,0.0,1,top_1,Detroit Pistons,2005-06 / 2006-07 / 2007-08,2007-08,176,70,0.707,7.1,Chauncey Billups,Richard Hamilton,"Chauncey Billups, Richard Hamilton, Rasheed Wallace, Tayshaun Prince, Antonio McDyess",-0.03,0.4,0.0,0.476,0.329,0.402,0,0,44.2,49.8,56.8,Similar elite star presence + defensive rank,Similar elite star presence trend + offensive rank trend
Boston Celtics,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.704,9.0,0.45,1,0,Jaylen Brown,Derrick White,41,21,-0.06,-1.8,-0.5,0.0,2,top_2,San Antonio Spurs,2005-06 / 2006-07 / 2007-08,2007-08,177,69,0.703,6.8,Tim Duncan,Manu Ginobili,"Tim Duncan, Manu Ginobili, Tony Parker, Kurt Thomas, Michael Finley",-0.043,-1.1,-0.5,0.659,0.61,0.634,1,1,43.5,45.6,65.6,Similar superstar presence + win percentage,Similar superstar presence trend + win percentage trend
Boston Celtics,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.704,9.0,0.45,1,0,Jaylen Brown,Derrick White,41,21,-0.06,-1.8,-0.5,0.0,3,top_3,San Antonio Spurs,2013-14 / 2014-15 / 2015-16,2015-16,184,62,0.764,9.2,Kawhi Leonard,LaMarcus Aldridge,"Kawhi Leonard, LaMarcus Aldridge, Manu Ginobili, Tim Duncan, Tony Parker",0.03,1.5,0.0,0.744,0.573,0.659,3,1,43.4,52.5,51.5,Similar top player quality + net rating,Similar elite star presence trend + offensive rank trend
Boston Celtics,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.704,9.0,0.45,1,0,Jaylen Brown,Derrick White,41,21,-0.06,-1.8,-0.5,0.0,4,optimistic,San Antonio Spurs,2013-14 / 2014-15 / 2015-16,2015-16,184,62,0.764,9.2,Kawhi Leonard,LaMarcus Aldridge,"Kawhi Leonard, LaMarcus Aldridge, Manu Ginobili, Tim Duncan, Tony Parker",0.03,1.5,0.0,0.744,0.573,0.659,3,1,43.4,52.5,51.5,Similar top player quality + net rating,Similar elite star presence trend + offensive rank trend
Boston Celtics,2023-24 / 2024-25 / 2025-26,2023-24 / 2024-25 / 2025-26,0.704,9.0,0.45,1,0,Jaylen Brown,Derrick White,41,21,-0.06,-1.8,-0.5,0.0,5,pessimistic,Detroit Pistons,2005-06 / 2006-07 / 2007-08,2007-08,176,70,0.707,7.1,Chauncey Billups,Richard Hamilton,"Chauncey Billups, Richard Hamilton, Rasheed Wallace, Tayshaun Prince, Antonio McDyess",-0.03,0.4,0.0,0.476,0.329,0.402,0,0,44.2,49.8,56.8,Similar elite star presence + defensive rank,Similar elite star presence trend + offensive rank trend
