Team,SEASON,playoff_round,round_label
Chicago Bulls,1996-97,5,Champion
Utah Jazz,1996-97,4,Lost in Finals
Houston Rockets,1996-97,3,Conf. Finals Exit
Miami Heat,1996-97,3,Conf. Finals Exit
Charlotte Hornets,1996-97,2,Conf. Semis Exit
Los Angeles Lakers,1996-97,2,Conf. Semis Exit
New York Knicks,1996-97,2,Conf. Semis Exit
Seattle SuperSonics,1996-97,2,Conf. Semis Exit
Atlanta Hawks,1996-97,1,First Round Exit
Detroit Pistons,1996-97,1,First Round Exit
Golden State Warriors,1996-97,1,First Round Exit
Los Angeles Clippers,1996-97,1,First Round Exit
Minnesota Timberwolves,1996-97,1,First Round Exit
Phoenix Suns,1996-97,1,First Round Exit
Portland Trail Blazers,1996-97,1,First Round Exit
Washington Bullets,1996-97,1,First Round Exit
Chicago Bulls,1997-98,5,Champion
Utah Jazz,1997-98,4,Lost in Finals
Indiana Pacers,1997-98,3,Conf. Finals Exit
Los Angeles Lakers,1997-98,3,Conf. Finals Exit
Charlotte Hornets,1997-98,2,Conf. Semis Exit
New York Knicks,1997-98,2,Conf. Semis Exit
San Antonio Spurs,1997-98,2,Conf. Semis Exit
Seattle SuperSonics,1997-98,2,Conf. Semis Exit
Atlanta Hawks,1997-98,1,First Round Exit
Cleveland Cavaliers,1997-98,1,First Round Exit
Houston Rockets,1997-98,1,First Round Exit
Miami Heat,1997-98,1,First Round Exit
Minnesota Timberwolves,1997-98,1,First Round Exit
New Jersey Nets,1997-98,1,First Round Exit
Phoenix Suns,1997-98,1,First Round Exit
San Antonio Spurs,1998-99,5,Champion
New York Knicks,1998-99,4,Lost in Finals
Indiana Pacers,1998-99,3,Conf. Finals Exit
Portland Trail Blazers,1998-99,3,Conf. Finals Exit
Atlanta Hawks,1998-99,2,Conf. Semis Exit
Los Angeles Lakers,1998-99,2,Conf. Semis Exit
Miami Heat,1998-99,2,Conf. Semis Exit
Utah Jazz,1998-99,2,Conf. Semis Exit
Boston Celtics,1998-99,1,First Round Exit
Houston Rockets,1998-99,1,First Round Exit
Minnesota Timberwolves,1998-99,1,First Round Exit
Orlando Magic,1998-99,1,First Round Exit
Philadelphia 76ers,1998-99,1,First Round Exit
Phoenix Suns,1998-99,1,First Round Exit
Sacramento Kings,1998-99,1,First Round Exit
Los Angeles Lakers,1999-00,5,Champion
Indiana Pacers,1999-00,4,Lost in Finals
New York Knicks,1999-00,3,Conf. Finals Exit
Portland Trail Blazers,1999-00,3,Conf. Finals Exit
Miami Heat,1999-00,2,Conf. Semis Exit
Milwaukee Bucks,1999-00,2,Conf. Semis Exit
Phoenix Suns,1999-00,2,Conf. Semis Exit
Utah Jazz,1999-00,2,Conf. Semis Exit
Detroit Pistons,1999-00,1,First Round Exit
Minnesota Timberwolves,1999-00,1,First Round Exit
Oklahoma City Thunder,1999-00,1,First Round Exit
Philadelphia 76ers,1999-00,1,First Round Exit
Sacramento Kings,1999-00,1,First Round Exit
San Antonio Spurs,1999-00,1,First Round Exit
Seattle SuperSonics,1999-00,1,First Round Exit
Toronto Raptors,1999-00,1,First Round Exit
Los Angeles Lakers,2000-01,5,Champion
Philadelphia 76ers,2000-01,4,Lost in Finals
Milwaukee Bucks,2000-01,3,Conf. Finals Exit
San Antonio Spurs,2000-01,3,Conf. Finals Exit
Dallas Mavericks,2000-01,2,Conf. Semis Exit
Indiana Pacers,2000-01,2,Conf. Semis Exit
Sacramento Kings,2000-01,2,Conf. Semis Exit
Toronto Raptors,2000-01,2,Conf. Semis Exit
Charlotte Hornets,2000-01,1,First Round Exit
Houston Rockets,2000-01,1,First Round Exit
Miami Heat,2000-01,1,First Round Exit
New Jersey Nets,2000-01,1,First Round Exit
New York Knicks,2000-01,1,First Round Exit
Phoenix Suns,2000-01,1,First Round Exit
Portland Trail Blazers,2000-01,1,First Round Exit
Utah Jazz,2000-01,1,First Round Exit
Los Angeles Lakers,2001-02,5,Champion
New Jersey Nets,2001-02,4,Lost in Finals
Boston Celtics,2001-02,3,Conf. Finals Exit
Sacramento Kings,2001-02,3,Conf. Finals Exit
Charlotte Hornets,2001-02,2,Conf. Semis Exit
Dallas Mavericks,2001-02,2,Conf. Semis Exit
Detroit Pistons,2001-02,2,Conf. Semis Exit
San Antonio Spurs,2001-02,2,Conf. Semis Exit
Indiana Pacers,2001-02,1,First Round Exit
Los Angeles Clippers,2001-02,1,First Round Exit
Philadelphia 76ers,2001-02,1,First Round Exit
Portland Trail Blazers,2001-02,1,First Round Exit
Seattle SuperSonics,2001-02,1,First Round Exit
Toronto Raptors,2001-02,1,First Round Exit
Utah Jazz,2001-02,1,First Round Exit
San Antonio Spurs,2002-03,5,Champion
New Jersey Nets,2002-03,4,Lost in Finals
Dallas Mavericks,2002-03,3,Conf. Finals Exit
Philadelphia 76ers,2002-03,3,Conf. Finals Exit
Boston Celtics,2002-03,2,Conf. Semis Exit
