Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Atlanta Hawks,1996-97,1997,1990s,82,56,26,0.6829268292682927,106.4,100.3,6.2,0.498,0.542,22.4,0.36,8.0,88.54,0.554,1.27,15.5,0.168,0.334,0.67,0.505,0.31,0.539,94.8,0.446,0.763,89.4,0.435
Boston Celtics,1996-97,1997,1990s,82,15,67,0.1829268292682926,102.9,110.1,-7.2,0.474,0.52,16.2,0.351,5.7,96.78,0.584,1.34,16.1,0.167,0.329,0.658,0.482,0.316,0.434,100.6,0.44,0.75,107.9,0.503
Charlotte Hornets,1996-97,1997,1990s,82,54,28,0.6585365853658537,109.1,107.1,2.1,0.518,0.562,16.9,0.428,7.2,90.04,0.676,1.68,19.2,0.162,0.316,0.661,0.495,0.313,0.528,98.9,0.471,0.777,97.0,0.46
Chicago Bulls,1996-97,1997,1990s,82,69,13,0.8414634146341463,112.4,100.7,11.8,0.511,0.547,17.1,0.373,6.4,91.5,0.654,1.93,19.4,0.147,0.374,0.67,0.524,0.267,0.586,103.1,0.473,0.747,92.3,0.436
Cleveland Cavaliers,1996-97,1997,1990s,82,42,40,0.5121951219512195,102.7,100.8,1.9,0.493,0.531,15.7,0.376,5.9,84.31,0.634,1.44,17.5,0.17,0.322,0.681,0.499,0.297,0.512,87.5,0.453,0.723,85.6,0.441
Dallas Mavericks,1996-97,1997,1990s,82,24,58,0.2926829268292683,99.5,106.0,-6.5,0.469,0.509,16.0,0.326,5.2,90.65,0.591,1.26,16.0,0.177,0.332,0.65,0.488,0.297,0.448,90.6,0.436,0.717,97.0,0.458
Denver Nuggets,1996-97,1997,1990s,82,21,61,0.2560975609756097,103.1,109.7,-6.6,0.486,0.53,20.9,0.372,7.8,93.67,0.644,1.39,17.4,0.175,0.324,0.666,0.496,0.298,0.461,97.8,0.439,0.761,104.1,0.467
Detroit Pistons,1996-97,1997,1990s,82,54,28,0.6585365853658537,108.5,102.6,5.9,0.512,0.554,18.3,0.388,7.1,86.09,0.55,1.49,16.1,0.146,0.302,0.675,0.492,0.327,0.53,94.2,0.464,0.745,88.9,0.444
Golden State Warriors,1996-97,1997,1990s,82,30,52,0.3658536585365853,105.3,110.3,-5.0,0.493,0.543,16.6,0.353,5.9,93.58,0.608,1.29,16.8,0.182,0.347,0.648,0.497,0.332,0.464,99.6,0.456,0.778,104.4,0.475
Houston Rockets,1996-97,1997,1990s,82,57,25,0.6951219512195121,107.5,102.8,4.7,0.52,0.56,22.4,0.365,8.2,92.73,0.663,1.47,18.7,0.178,0.318,0.692,0.514,0.307,0.536,100.6,0.468,0.755,96.1,0.443
Indiana Pacers,1996-97,1997,1990s,82,39,43,0.4756097560975609,104.2,102.9,1.3,0.49,0.537,13.8,0.381,5.2,90.44,0.614,1.31,16.8,0.178,0.338,0.668,0.506,0.374,0.504,95.4,0.456,0.722,94.4,0.44
Los Angeles Clippers,1996-97,1997,1990s,82,36,46,0.4390243902439024,103.5,106.2,-2.8,0.482,0.524,16.3,0.354,5.8,92.65,0.556,1.27,15.6,0.17,0.339,0.654,0.492,0.31,0.475,97.2,0.446,0.731,99.5,0.462
