SEASON,YEAR,ORtg_Correlation,ORtg_PValue,DRtg_Correlation,DRtg_PValue
1996-97,1997,0.79631243898439,2.388118042304032e-07,-0.8643554152125952,1.5141790848390118e-09
1997-98,1998,0.8086773234566773,1.1093536128745506e-07,-0.7442072247349069,3.691812171448751e-06
1998-99,1999,0.6318195856739188,0.00023671869813369462,-0.7382922866274387,4.835412586419788e-06
1999-00,2000,0.7391679238336459,4.6481437735401875e-06,-0.8076806005402082,1.1824593553716466e-07
2000-01,2001,0.7875861953848765,3.9788194270450575e-07,-0.692928576054693,3.096713958172217e-05
2001-02,2002,0.7601501997877473,1.7182073954185088e-06,-0.6574437724781016,0.00010659808638608578
2002-03,2003,0.7786473661914296,6.553726115273756e-07,-0.554253994150143,0.0018097891382061657
2003-04,2004,0.5477011177379147,0.002102342322052803,-0.6225566020215204,0.00031048131003437934
2004-05,2005,0.7208359280649025,7.022569525670754e-06,-0.6023070956524785,0.00042868516307601953
2005-06,2006,0.5805369220885979,0.0007701596733569844,-0.7108714079672777,1.0709845213334804e-05
2006-07,2007,0.6611897057683949,6.955966243731703e-05,-0.7046865906442884,1.3797733281344479e-05
2007-08,2008,0.8509259081304308,2.57221113162337e-09,-0.8115638320631868,5.284315705911671e-08
2008-09,2009,0.8187080549883022,3.224539650363403e-08,-0.84415626968366,4.583670631530617e-09
2009-10,2010,0.7813970629464679,3.45645369211242e-07,-0.6965786147654738,1.905177379897626e-05
2011-12,2012,0.7991797750598115,1.186668607699507e-07,-0.7437167940606677,2.4818829281985376e-06
2012-13,2013,0.7779791996585791,4.197538207843204e-07,-0.7125951434017967,9.968231537609281e-06
2013-14,2014,0.7607140983751667,1.0659672491611255e-06,-0.7665520660739058,7.847190167906005e-07
2015-16,2016,0.887606257047371,6.245872744340402e-11,-0.816794065577299,3.688436072040663e-08
2016-17,2017,0.7876828468047897,2.396180621278068e-07,-0.6732494463697647,4.5616291343533674e-05
2017-18,2018,0.8457479365491243,4.011398617122317e-09,-0.6650055079135079,6.0990665743897006e-05
2018-19,2019,0.8545972479196469,1.8579478770693759e-09,-0.7734882052355336,5.390615660921919e-07
2019-20,2020,0.7435803045062588,2.4981224699178656e-06,-0.8333860320315085,1.0889022631942236e-08
2020-21,2021,0.8327198336055374,1.1464570871483866e-08,-0.5962604314084418,0.0005065612797801375
2021-22,2022,0.8018931781739536,9.987325010479986e-08,-0.7708452252990503,6.229301162215741e-07
2022-23,2023,0.7888753319540189,2.232215772640347e-07,-0.7908165497444329,1.9870306807268888e-07
2023-24,2024,0.861297712021682,1.0023384119856152e-09,-0.7540777173020867,1.4945879882466809e-06
2024-25,2025,0.890200980560311,4.578981365831876e-11,-0.800918357189238,1.0628735529859736e-07
