SEASON,YEAR,Head_Coach,General_Manager,Playoff_Result,Playoff_Depth
1995-96,1996,Brendan Malone,Isiah Thomas,Did Not Qualify,0
1996-97,1997,Darrell Walker,Isiah Thomas,Did Not Qualify,0
1997-98,1998,Darrell Walker / Butch Carter,Isiah Thomas,Did Not Qualify,0
1998-99,1999,Butch Carter,Glen Grunwald,Did Not Qualify,0
1999-00,2000,Butch Carter,Glen Grunwald,First Round,1
2000-01,2001,Lenny Wilkens,Glen Grunwald,Second Round,2
2001-02,2002,Lenny Wilkens,Glen Grunwald,First Round,1
2002-03,2003,Lenny Wilkens,Glen Grunwald,Did Not Qualify,0
2003-04,2004,Kevin O'Neill,Glen Grunwald,Did Not Qualify,0
2004-05,2005,Sam Mitchell,Rob Babcock,Did Not Qualify,0
2005-06,2006,Sam Mitchell,Rob Babcock,Did Not Qualify,0
2006-07,2007,Sam Mitchell,Bryan Colangelo,First Round,1
2007-08,2008,Sam Mitchell,Bryan Colangelo,First Round,1
2008-09,2009,Sam Mitchell / Jay Triano,Bryan Colangelo,Did Not Qualify,0
2009-10,2010,Jay Triano,Bryan Colangelo,Did Not Qualify,0
2010-11,2011,Jay Triano,Bryan Colangelo,Did Not Qualify,0
2011-12,2012,Dwane Casey,Bryan Colangelo,Did Not Qualify,0
2012-13,2013,Dwane Casey,Bryan Colangelo,Did Not Qualify,0
2013-14,2014,Dwane Casey,Masai Ujiri,First Round,1
2014-15,2015,Dwane Casey,Masai Ujiri,First Round,1
2015-16,2016,Dwane Casey,Masai Ujiri,Conference Finals,3
2016-17,2017,Dwane Casey,Masai Ujiri,Second Round,2
2017-18,2018,Dwane Casey,Masai Ujiri,Second Round,2
2018-19,2019,Nick Nurse,Masai Ujiri,NBA Champions,5
2019-20,2020,Nick Nurse,Masai Ujiri,Second Round,2
2020-21,2021,Nick Nurse,Masai Ujiri,Did Not Qualify,0
2021-22,2022,Nick Nurse,Bobby Webster,First Round,1
2022-23,2023,Nick Nurse,Bobby Webster,Did Not Qualify,0
2023-24,2024,Darko Rajaković,Bobby Webster,First Round,1
